error	steps
3842.0	0.0
3775.0	1.0
3683.0	2.0
3545.0	3.0
3248.0	4.0
2846.0	5.0
2755.0	6.0
2479.0	7.0
2331.0	8.0
2329.0	9.0
2176.0	10.0
2146.0	11.0
2054.0	12.0
2030.0	13.0
1927.0	14.0
1927.0	15.0
1927.0	16.0
1897.0	17.0
1897.0	18.0
1895.0	19.0
1892.0	20.0
1892.0	21.0
1810.0	22.0
1810.0	23.0
1783.0	24.0
1783.0	25.0
1783.0	26.0
1783.0	27.0
1783.0	28.0
1783.0	29.0
1775.0	30.0
1775.0	31.0
1775.0	32.0
1775.0	33.0
1775.0	34.0
1775.0	35.0
1768.0	36.0
1768.0	37.0
1768.0	38.0
1768.0	39.0
1768.0	40.0
1768.0	41.0
1768.0	42.0
1768.0	43.0
1768.0	44.0
1768.0	45.0
1768.0	46.0
1768.0	47.0
1768.0	48.0
1768.0	49.0
1768.0	50.0
1768.0	51.0
1768.0	52.0
1768.0	53.0
1768.0	54.0
1768.0	55.0
1768.0	56.0
1768.0	57.0
1768.0	58.0
1768.0	59.0
1768.0	60.0
1768.0	61.0
1768.0	62.0
1768.0	63.0
1768.0	64.0
1768.0	65.0
1768.0	66.0
1768.0	67.0
1768.0	68.0
1768.0	69.0
1768.0	70.0
1768.0	71.0
1768.0	72.0
1768.0	73.0
1768.0	74.0
1768.0	75.0
1768.0	76.0
1768.0	77.0
1768.0	78.0
1768.0	79.0
1768.0	80.0
1768.0	81.0
1768.0	82.0
1768.0	83.0
1768.0	84.0
1768.0	85.0
1768.0	86.0
1768.0	87.0
1768.0	88.0
1768.0	89.0
1768.0	90.0
1768.0	91.0
1768.0	92.0
1768.0	93.0
1768.0	94.0
1768.0	95.0
1768.0	96.0
1768.0	97.0
1768.0	98.0
1768.0	99.0
1768.0	100.0
1768.0	101.0
1768.0	102.0
1768.0	103.0
1768.0	104.0
1768.0	105.0
1768.0	106.0
1768.0	107.0
1768.0	108.0
1768.0	109.0
1768.0	110.0
1768.0	111.0
1768.0	112.0
1768.0	113.0
1768.0	114.0
1768.0	115.0
1768.0	116.0
1768.0	117.0
1768.0	118.0
1768.0	119.0
1768.0	120.0
1768.0	121.0
1768.0	122.0
1768.0	123.0
1768.0	124.0
1768.0	125.0
1768.0	126.0
1768.0	127.0
1768.0	128.0
1768.0	129.0
1768.0	130.0
1768.0	131.0
1768.0	132.0
1768.0	133.0
1768.0	134.0
1768.0	135.0
1768.0	136.0
1768.0	137.0
1768.0	138.0
1768.0	139.0
1768.0	140.0
1768.0	141.0
1768.0	142.0
1768.0	143.0
1768.0	144.0
1768.0	145.0
1768.0	146.0
1768.0	147.0
1768.0	148.0
1768.0	149.0
1768.0	150.0
1768.0	151.0
1768.0	152.0
1768.0	153.0
1768.0	154.0
1768.0	155.0
1768.0	156.0
1768.0	157.0
1768.0	158.0
1768.0	159.0
1768.0	160.0
1768.0	161.0
1768.0	162.0
1768.0	163.0
1768.0	164.0
1768.0	165.0
1768.0	166.0
1768.0	167.0
1768.0	168.0
1768.0	169.0
1768.0	170.0
1768.0	171.0
1768.0	172.0
1768.0	173.0
1768.0	174.0
1768.0	175.0
1768.0	176.0
1768.0	177.0
1768.0	178.0
1768.0	179.0
1768.0	180.0
1768.0	181.0
1768.0	182.0
1768.0	183.0
1768.0	184.0
1768.0	185.0
1768.0	186.0
