feature,mean_abs_shap
GenHlth,0.613876026391818
HighBP,0.4823678399791023
BMI,0.4301606521174029
Age,0.36967222721572934
HighChol,0.2596683008095301
Income,0.08761947441599746
DiffWalk,0.07593620454261135
HeartDiseaseorAttack,0.05253115945285964
Sex,0.03764966691643931
HvyAlcoholConsump,0.013241536864343945
CholCheck,0.0053833619718336246
PhysHlth,0.001146230137456589
Stroke,0.0010994167350827698
Education,0.000529519570794328
MentHlth,0.00028237884766028014
PhysActivity,8.543771118086024e-05
Fruits,0.0
Veggies,0.0
AnyHealthcare,0.0
NoDocbcCost,0.0
Smoker,0.0
